Job search stress
"Yes, very stressful"
"Yes, somewhat stressful"
"Yes, somewhat stressful"
"No, not stressful"
"Yes, very stressful"
"Yes, somewhat stressful"
"No, not stressful"
"Yes, very stressful"
"No, not stressful"
"Yes, somewhat stressful"
"Yes, somewhat stressful"
"Yes, very stressful"
"Yes, very stressful"
"Yes, somewhat stressful"
"Yes, very stressful"
"Yes, somewhat stressful"
"No, not stressful"
"Yes, somewhat stressful"
"Yes, somewhat stressful"
"Yes, very stressful"
"Yes, somewhat stressful"
"Yes, somewhat stressful"
"No, not stressful"
"Yes, very stressful"
